Fam1EN;CostTypeEN;BookingEN;ActivityKey;combined_text;Transaction_Index;Cat1_Match;Cat2_Match;DescriptionCat2_Match;Similarity_Score
it expenses;Maintenance subscriptions EDP;you know;IT maintenance;Maintenance subscriptions EDP you know;223;purchases of services;it maintenance and services;it maintenance, support and development. this covers the maintenance and repair of systems, the development of tailor-made it solutions, and the implementation and management of cloud solutions. these services are essential for ensuring operational continuity, developing appropriate technological solutions and maintaining secure, high-performance infrastructures.;0.5840318202972412
external services;Cleaning;you additional care;Cleaning services;Cleaning you additional care;224;purchases of services;cleaning services;cleaning services for professional, industrial and residential spaces. this includes activities such as the cleaning of offices, factories and public buildings, as well as specialised cleaning for specific events or situations.;0.5647461414337158
external services;More Third-Party Services (Output)Offset;yield umb;Admin services;More Third-Party Services (Output)Offset yield umb;225;purchases of services;it maintenance and services;it maintenance, support and development. this covers the maintenance and repair of systems, the development of tailor-made it solutions, and the implementation and management of cloud solutions. these services are essential for ensuring operational continuity, developing appropriate technological solutions and maintaining secure, high-performance infrastructures.;0.2478993982076645
marketing;Advertising Products (Creation, Realization, Production);years;Marketing services;Advertising Products (Creation, Realization, Production) years;226;purchases of services;marketing / advertising services;services to promote products, brands or companies. this includes activities such as creating advertising campaigns, managing social networks, market research and marketing strategy. these services aim to increase visibility, attract customers and improve brand image with the target audience.;0.43911460041999817
other operating expenses;Development costs;year those;IT services;Development costs year those;227;purchase of goods;buildings;acquisition and construction of various types of buildings, including agricultural and industrial buildings, office blocks and flat blocks, as well as detached houses and eco-buildings using natural materials such as wood, straw and stone. it also covers health and education establishments, as well as leisure and commercial facilities, garages and car parks.;0.29406076669692993
other operating expenses;Development costs;year those;IT services;Development costs year those;228;purchase of goods;buildings;acquisition and construction of various types of buildings, including agricultural and industrial buildings, office blocks and flat blocks, as well as detached houses and eco-buildings using natural materials such as wood, straw and stone. it also covers health and education establishments, as well as leisure and commercial facilities, garages and car parks.;0.29406076669692993
marketing;Marketing Vs Business;yc;Marketing services;Marketing Vs Business yc;229;purchases of services;marketing / advertising services;services to promote products, brands or companies. this includes activities such as creating advertising campaigns, managing social networks, market research and marketing strategy. these services aim to increase visibility, attract customers and improve brand image with the target audience.;0.5584048628807068
marketing;Media partnerships;yb zoneb;Marketing services;Media partnerships yb zoneb;230;purchases of services;information and cultural services;access to cultural and economic resources. this includes newspaper subscriptions, access to events, content platforms, as well as paid professional information for businesses.;0.5554515719413757
external services;Traffic services;yb vd;Security & traffic services;Traffic services yb vd;231;freight transport;road;moving goods by lorry or van on the road network. this mode of transport is often used for local or national distribution, enabling products to be delivered directly to businesses, warehouses or points of sale.;0.39115726947784424
external services;Traffic services;yb vd;Security & traffic services;Traffic services yb vd;232;freight transport;road;moving goods by lorry or van on the road network. this mode of transport is often used for local or national distribution, enabling products to be delivered directly to businesses, warehouses or points of sale.;0.39115726947784424
external services;Traffic services;yb vd;Security & traffic services;Traffic services yb vd;233;freight transport;road;moving goods by lorry or van on the road network. this mode of transport is often used for local or national distribution, enabling products to be delivered directly to businesses, warehouses or points of sale.;0.39115726947784424
external services;Traffic services;yb vd;Security & traffic services;Traffic services yb vd;234;freight transport;road;moving goods by lorry or van on the road network. this mode of transport is often used for local or national distribution, enabling products to be delivered directly to businesses, warehouses or points of sale.;0.39115726947784424
external services;Traffic services;yb vd;Security & traffic services;Traffic services yb vd;235;freight transport;road;moving goods by lorry or van on the road network. this mode of transport is often used for local or national distribution, enabling products to be delivered directly to businesses, warehouses or points of sale.;0.39115726947784424
external services;Traffic services;yb vd;Security & traffic services;Traffic services yb vd;236;freight transport;road;moving goods by lorry or van on the road network. this mode of transport is often used for local or national distribution, enabling products to be delivered directly to businesses, warehouses or points of sale.;0.39115726947784424
external services;Traffic services;yb vd;Security & traffic services;Traffic services yb vd;237;freight transport;road;moving goods by lorry or van on the road network. this mode of transport is often used for local or national distribution, enabling products to be delivered directly to businesses, warehouses or points of sale.;0.39115726947784424
marketing;PR media;yb valiant lounge;Marketing services;PR media yb valiant lounge;238;purchases of services;information and cultural services;access to cultural and economic resources. this includes newspaper subscriptions, access to events, content platforms, as well as paid professional information for businesses.;0.36419034004211426
marketing;PR media;yb valiant lounge;Marketing services;PR media yb valiant lounge;239;purchases of services;information and cultural services;access to cultural and economic resources. this includes newspaper subscriptions, access to events, content platforms, as well as paid professional information for businesses.;0.36419034004211426
office and administrative expenses;Donations and gifts;yb valiant lounge;Marketing services;Donations and gifts yb valiant lounge;240;purchases of services;catering services;catering services, caterers, canteens, restaurant meals, as well as the provision of meals at events or on company premises. these services meet the catering needs of individuals and organisations, for one-off or regular occasions.;0.3287278115749359
office and administrative expenses;Donations and gifts;yb tix running in wunschwald family;Marketing services;Donations and gifts yb tix running in wunschwald family;241;purchases of services;information and cultural services;access to cultural and economic resources. this includes newspaper subscriptions, access to events, content platforms, as well as paid professional information for businesses.;0.24801120162010193
external services;Traffic Control Service (Barinkasso);yb sporting;Financial services;Traffic Control Service (Barinkasso) yb sporting;242;passenger transport;road;passenger travel on the road network, including buses, shuttles, intercity coaches, taxis, car sharing, private and company cars, as well as scooters and motorbikes.;0.44542062282562256
external services;Traffic services;yb rv;Security & traffic services;Traffic services yb rv;243;purchases of services;vehicle rental;temporary provision of motorised vehicles, such as cars, vans, lorries or motorbikes. this allows us to meet specific mobility needs, whether for business trips, removals or one-off assignments.;0.5664876103401184
external services;Traffic services;yb rv;Security & traffic services;Traffic services yb rv;244;purchases of services;vehicle rental;temporary provision of motorised vehicles, such as cars, vans, lorries or motorbikes. this allows us to meet specific mobility needs, whether for business trips, removals or one-off assignments.;0.5664876103401184
external services;Traffic control service RV (Parking fines);yb rv;Security & traffic services;Traffic control service RV (Parking fines) yb rv;245;purchases of services;vehicle rental;temporary provision of motorised vehicles, such as cars, vans, lorries or motorbikes. this allows us to meet specific mobility needs, whether for business trips, removals or one-off assignments.;0.6251413822174072
external services;Traffic control service RV (Parking fines);yb rv;Security & traffic services;Traffic control service RV (Parking fines) yb rv;246;purchases of services;vehicle rental;temporary provision of motorised vehicles, such as cars, vans, lorries or motorbikes. this allows us to meet specific mobility needs, whether for business trips, removals or one-off assignments.;0.6251413822174072
external services;Traffic control service RV (Parking fines);yb rv;Security & traffic services;Traffic control service RV (Parking fines) yb rv;247;purchases of services;vehicle rental;temporary provision of motorised vehicles, such as cars, vans, lorries or motorbikes. this allows us to meet specific mobility needs, whether for business trips, removals or one-off assignments.;0.6251413822174072
external services;Traffic control service RV (Parking fines);yb rv;Security & traffic services;Traffic control service RV (Parking fines) yb rv;248;purchases of services;vehicle rental;temporary provision of motorised vehicles, such as cars, vans, lorries or motorbikes. this allows us to meet specific mobility needs, whether for business trips, removals or one-off assignments.;0.6251413822174072
external services;Traffic control service RV (Parking fines);yb rv;Security & traffic services;Traffic control service RV (Parking fines) yb rv;249;purchases of services;vehicle rental;temporary provision of motorised vehicles, such as cars, vans, lorries or motorbikes. this allows us to meet specific mobility needs, whether for business trips, removals or one-off assignments.;0.6251413822174072
external services;Traffic control service RV (Parking fines);yb rv;Security & traffic services;Traffic control service RV (Parking fines) yb rv;250;purchases of services;vehicle rental;temporary provision of motorised vehicles, such as cars, vans, lorries or motorbikes. this allows us to meet specific mobility needs, whether for business trips, removals or one-off assignments.;0.6251413822174072
external services;Traffic control service RV (Parking fines);yb rv;Security & traffic services;Traffic control service RV (Parking fines) yb rv;251;purchases of services;vehicle rental;temporary provision of motorised vehicles, such as cars, vans, lorries or motorbikes. this allows us to meet specific mobility needs, whether for business trips, removals or one-off assignments.;0.6251413822174072
external services;Traffic control service RV (Parking fines);yb rv;Security & traffic services;Traffic control service RV (Parking fines) yb rv;252;purchases of services;vehicle rental;temporary provision of motorised vehicles, such as cars, vans, lorries or motorbikes. this allows us to meet specific mobility needs, whether for business trips, removals or one-off assignments.;0.6251413822174072
external services;Traffic control service RV (Parking fines);yb rv;Security & traffic services;Traffic control service RV (Parking fines) yb rv;253;purchases of services;vehicle rental;temporary provision of motorised vehicles, such as cars, vans, lorries or motorbikes. this allows us to meet specific mobility needs, whether for business trips, removals or one-off assignments.;0.6251413822174072
external services;Guard (incl. Closing service);yb rv;Security & traffic services;Guard (incl. Closing service) yb rv;254;purchases of services;vehicle rental;temporary provision of motorised vehicles, such as cars, vans, lorries or motorbikes. this allows us to meet specific mobility needs, whether for business trips, removals or one-off assignments.;0.4468422532081604
external services;Traffic control service RV (Parking fines);yb rv;Security & traffic services;Traffic control service RV (Parking fines) yb rv;255;purchases of services;vehicle rental;temporary provision of motorised vehicles, such as cars, vans, lorries or motorbikes. this allows us to meet specific mobility needs, whether for business trips, removals or one-off assignments.;0.6251413822174072
external services;Traffic control service RV (Parking fines);yb rv;Security & traffic services;Traffic control service RV (Parking fines) yb rv;256;purchases of services;vehicle rental;temporary provision of motorised vehicles, such as cars, vans, lorries or motorbikes. this allows us to meet specific mobility needs, whether for business trips, removals or one-off assignments.;0.6251413822174072
external services;Traffic control service RV (Parking fines);yb rv;Security & traffic services;Traffic control service RV (Parking fines) yb rv;257;purchases of services;vehicle rental;temporary provision of motorised vehicles, such as cars, vans, lorries or motorbikes. this allows us to meet specific mobility needs, whether for business trips, removals or one-off assignments.;0.6251413822174072
external services;Traffic control service RV (Parking fines);yb rv;Security & traffic services;Traffic control service RV (Parking fines) yb rv;258;purchases of services;vehicle rental;temporary provision of motorised vehicles, such as cars, vans, lorries or motorbikes. this allows us to meet specific mobility needs, whether for business trips, removals or one-off assignments.;0.6251413822174072
external services;Traffic control service RV (Parking fines);yb rv;Security & traffic services;Traffic control service RV (Parking fines) yb rv;259;purchases of services;vehicle rental;temporary provision of motorised vehicles, such as cars, vans, lorries or motorbikes. this allows us to meet specific mobility needs, whether for business trips, removals or one-off assignments.;0.6251413822174072
external services;Traffic control service RV (Parking fines);yb rv;Security & traffic services;Traffic control service RV (Parking fines) yb rv;260;purchases of services;vehicle rental;temporary provision of motorised vehicles, such as cars, vans, lorries or motorbikes. this allows us to meet specific mobility needs, whether for business trips, removals or one-off assignments.;0.6251413822174072
external services;Traffic control service RV (Parking fines);yb rv;Security & traffic services;Traffic control service RV (Parking fines) yb rv;261;purchases of services;vehicle rental;temporary provision of motorised vehicles, such as cars, vans, lorries or motorbikes. this allows us to meet specific mobility needs, whether for business trips, removals or one-off assignments.;0.6251413822174072
external services;Traffic control service RV (Parking fines);yb rv;Security & traffic services;Traffic control service RV (Parking fines) yb rv;262;purchases of services;vehicle rental;temporary provision of motorised vehicles, such as cars, vans, lorries or motorbikes. this allows us to meet specific mobility needs, whether for business trips, removals or one-off assignments.;0.6251413822174072
external services;Traffic control service RV (Parking fines);yb rv;Security & traffic services;Traffic control service RV (Parking fines) yb rv;263;purchases of services;vehicle rental;temporary provision of motorised vehicles, such as cars, vans, lorries or motorbikes. this allows us to meet specific mobility needs, whether for business trips, removals or one-off assignments.;0.6251413822174072
external services;Traffic control service RV (Parking fines);yb rv;Security & traffic services;Traffic control service RV (Parking fines) yb rv;264;purchases of services;vehicle rental;temporary provision of motorised vehicles, such as cars, vans, lorries or motorbikes. this allows us to meet specific mobility needs, whether for business trips, removals or one-off assignments.;0.6251413822174072
external services;Traffic control service RV (Parking fines);yb rv;Security & traffic services;Traffic control service RV (Parking fines) yb rv;265;purchases of services;vehicle rental;temporary provision of motorised vehicles, such as cars, vans, lorries or motorbikes. this allows us to meet specific mobility needs, whether for business trips, removals or one-off assignments.;0.6251413822174072
external services;Traffic control service RV (Parking fines);yb rv;Security & traffic services;Traffic control service RV (Parking fines) yb rv;266;purchases of services;vehicle rental;temporary provision of motorised vehicles, such as cars, vans, lorries or motorbikes. this allows us to meet specific mobility needs, whether for business trips, removals or one-off assignments.;0.6251413822174072
external services;Traffic control service RV (Parking fines);yb rv;Security & traffic services;Traffic control service RV (Parking fines) yb rv;267;purchases of services;vehicle rental;temporary provision of motorised vehicles, such as cars, vans, lorries or motorbikes. this allows us to meet specific mobility needs, whether for business trips, removals or one-off assignments.;0.6251413822174072
external services;Traffic control service RV (Parking fines);yb rv;Security & traffic services;Traffic control service RV (Parking fines) yb rv;268;purchases of services;vehicle rental;temporary provision of motorised vehicles, such as cars, vans, lorries or motorbikes. this allows us to meet specific mobility needs, whether for business trips, removals or one-off assignments.;0.6251413822174072
external services;Traffic control service RV (Parking fines);yb rv;Security & traffic services;Traffic control service RV (Parking fines) yb rv;269;purchases of services;vehicle rental;temporary provision of motorised vehicles, such as cars, vans, lorries or motorbikes. this allows us to meet specific mobility needs, whether for business trips, removals or one-off assignments.;0.6251413822174072
external services;Traffic control service RV (Parking fines);yb rv;Security & traffic services;Traffic control service RV (Parking fines) yb rv;270;purchases of services;vehicle rental;temporary provision of motorised vehicles, such as cars, vans, lorries or motorbikes. this allows us to meet specific mobility needs, whether for business trips, removals or one-off assignments.;0.6251413822174072
external services;Traffic Control Service (Barinkasso);yb rv;Financial services;Traffic Control Service (Barinkasso) yb rv;271;purchases of services;vehicle rental;temporary provision of motorised vehicles, such as cars, vans, lorries or motorbikes. this allows us to meet specific mobility needs, whether for business trips, removals or one-off assignments.;0.5729019641876221
external services;Traffic Control Service (Barinkasso);yb rv;Financial services;Traffic Control Service (Barinkasso) yb rv;272;purchases of services;vehicle rental;temporary provision of motorised vehicles, such as cars, vans, lorries or motorbikes. this allows us to meet specific mobility needs, whether for business trips, removals or one-off assignments.;0.5729019641876221
external services;Traffic control service RV (Parking fines);yb rv;Security & traffic services;Traffic control service RV (Parking fines) yb rv;273;purchases of services;vehicle rental;temporary provision of motorised vehicles, such as cars, vans, lorries or motorbikes. this allows us to meet specific mobility needs, whether for business trips, removals or one-off assignments.;0.6251413822174072
external services;Traffic control service RV (Parking fines);yb rv;Security & traffic services;Traffic control service RV (Parking fines) yb rv;274;purchases of services;vehicle rental;temporary provision of motorised vehicles, such as cars, vans, lorries or motorbikes. this allows us to meet specific mobility needs, whether for business trips, removals or one-off assignments.;0.6251413822174072
external services;Traffic control service RV (Parking fines);yb rv;Security & traffic services;Traffic control service RV (Parking fines) yb rv;275;purchases of services;vehicle rental;temporary provision of motorised vehicles, such as cars, vans, lorries or motorbikes. this allows us to meet specific mobility needs, whether for business trips, removals or one-off assignments.;0.6251413822174072
external services;Traffic control service RV (Parking fines);yb rv;Security & traffic services;Traffic control service RV (Parking fines) yb rv;276;purchases of services;vehicle rental;temporary provision of motorised vehicles, such as cars, vans, lorries or motorbikes. this allows us to meet specific mobility needs, whether for business trips, removals or one-off assignments.;0.6251413822174072
external services;Traffic control service RV (Parking fines);yb rv;Security & traffic services;Traffic control service RV (Parking fines) yb rv;277;purchases of services;vehicle rental;temporary provision of motorised vehicles, such as cars, vans, lorries or motorbikes. this allows us to meet specific mobility needs, whether for business trips, removals or one-off assignments.;0.6251413822174072
external services;Traffic control service RV (Parking fines);yb rv;Security & traffic services;Traffic control service RV (Parking fines) yb rv;278;purchases of services;vehicle rental;temporary provision of motorised vehicles, such as cars, vans, lorries or motorbikes. this allows us to meet specific mobility needs, whether for business trips, removals or one-off assignments.;0.6251413822174072
external services;Traffic services;yb rv;Security & traffic services;Traffic services yb rv;279;purchases of services;vehicle rental;temporary provision of motorised vehicles, such as cars, vans, lorries or motorbikes. this allows us to meet specific mobility needs, whether for business trips, removals or one-off assignments.;0.5664876103401184
external services;Traffic services;yb rv;Security & traffic services;Traffic services yb rv;280;purchases of services;vehicle rental;temporary provision of motorised vehicles, such as cars, vans, lorries or motorbikes. this allows us to meet specific mobility needs, whether for business trips, removals or one-off assignments.;0.5664876103401184
external services;Traffic services;yb rv;Security & traffic services;Traffic services yb rv;281;purchases of services;vehicle rental;temporary provision of motorised vehicles, such as cars, vans, lorries or motorbikes. this allows us to meet specific mobility needs, whether for business trips, removals or one-off assignments.;0.5664876103401184
external services;Traffic control service RV (Parking fines);yb rc;Security & traffic services;Traffic control service RV (Parking fines) yb rc;282;purchases of services;vehicle rental;temporary provision of motorised vehicles, such as cars, vans, lorries or motorbikes. this allows us to meet specific mobility needs, whether for business trips, removals or one-off assignments.;0.5688351988792419
external services;Cleaning;yb photo shoot;Cleaning services;Cleaning yb photo shoot;283;purchases of services;cleaning services;cleaning services for professional, industrial and residential spaces. this includes activities such as the cleaning of offices, factories and public buildings, as well as specialised cleaning for specific events or situations.;0.2872609794139862
office and administrative expenses;Sponsorship;yb partner contribution;Marketing services;Sponsorship yb partner contribution;284;purchases of services;information and cultural services;access to cultural and economic resources. this includes newspaper subscriptions, access to events, content platforms, as well as paid professional information for businesses.;0.3420283794403076
external services;Traffic services;yb parking;Security & traffic services;Traffic services yb parking;285;passenger transport;road;passenger travel on the road network, including buses, shuttles, intercity coaches, taxis, car sharing, private and company cars, as well as scooters and motorbikes.;0.5752831101417542
external services;Cleaning;yb matches additional cleaning;Cleaning services;Cleaning yb matches additional cleaning;286;waste treatment;waste water;water from domestic, industrial or agricultural activities, containing various pollutants. this includes waste water, grey water from domestic use (such as shower or washing water), and industrial effluent. this water requires specific treatment before being discharged into the environment, in order to minimise its impact on ecosystems.;0.36071354150772095
external services;Cleaning;yb maintenance cleaning;Cleaning services;Cleaning yb maintenance cleaning;287;purchases of services;cleaning services;cleaning services for professional, industrial and residential spaces. this includes activities such as the cleaning of offices, factories and public buildings, as well as specialised cleaning for specific events or situations.;0.521243691444397
marketing;Media (Advertising, Broadcasting, Campaigns);yb FRET;Marketing services;Media (Advertising, Broadcasting, Campaigns) yb FRET;288;purchases of services;information and cultural services;access to cultural and economic resources. this includes newspaper subscriptions, access to events, content platforms, as well as paid professional information for businesses.;0.5473687648773193
external services;Traffic control service RV (Parking fines);yb eh parking rv;Security & traffic services;Traffic control service RV (Parking fines) yb eh parking rv;289;purchases of services;vehicle rental;temporary provision of motorised vehicles, such as cars, vans, lorries or motorbikes. this allows us to meet specific mobility needs, whether for business trips, removals or one-off assignments.;0.633829653263092
external services;Traffic control service RV (Parking fines);yb control rv;Security & traffic services;Traffic control service RV (Parking fines) yb control rv;290;purchases of services;vehicle rental;temporary provision of motorised vehicles, such as cars, vans, lorries or motorbikes. this allows us to meet specific mobility needs, whether for business trips, removals or one-off assignments.;0.5922677516937256
external services;Cleaning;yb cleanse;Cleaning services;Cleaning yb cleanse;291;waste treatment;waste water;water from domestic, industrial or agricultural activities, containing various pollutants. this includes waste water, grey water from domestic use (such as shower or washing water), and industrial effluent. this water requires specific treatment before being discharged into the environment, in order to minimise its impact on ecosystems.;0.35718876123428345
external services;Cleaning;yb cleaning;Cleaning services;Cleaning yb cleaning;292;purchases of services;cleaning services;cleaning services for professional, industrial and residential spaces. this includes activities such as the cleaning of offices, factories and public buildings, as well as specialised cleaning for specific events or situations.;0.47369444370269775
external services;Cleaning;yb cleaning;Cleaning services;Cleaning yb cleaning;293;purchases of services;cleaning services;cleaning services for professional, industrial and residential spaces. this includes activities such as the cleaning of offices, factories and public buildings, as well as specialised cleaning for specific events or situations.;0.47369444370269775
external services;Cleaning;yb cleaning;Cleaning services;Cleaning yb cleaning;294;purchases of services;cleaning services;cleaning services for professional, industrial and residential spaces. this includes activities such as the cleaning of offices, factories and public buildings, as well as specialised cleaning for specific events or situations.;0.47369444370269775
external services;Cleaning;yb cleaning;Cleaning services;Cleaning yb cleaning;295;purchases of services;cleaning services;cleaning services for professional, industrial and residential spaces. this includes activities such as the cleaning of offices, factories and public buildings, as well as specialised cleaning for specific events or situations.;0.47369444370269775
external services;Guard (incl. Closing service);yb bew days;Security & traffic services;Guard (incl. Closing service) yb bew days;296;purchases of services;building maintenance and services;maintenance and repair of buildings, excluding energy consumption and cleaning services. this includes activities such as the maintenance of electrical and plumbing systems, structural repairs, and the management of air conditioning and heating systems (excluding consumption). these services are designed to ensure the safety, functionality and sustainability of the buildings.;0.2873329520225525
external services;Traffic Control Service (Barinkasso);yb basel rv;Financial services;Traffic Control Service (Barinkasso) yb basel rv;297;freight transport;road;moving goods by lorry or van on the road network. this mode of transport is often used for local or national distribution, enabling products to be delivered directly to businesses, warehouses or points of sale.;0.4452410340309143
external services;Cleaning;yb additional cleaning;Cleaning services;Cleaning yb additional cleaning;298;purchases of services;cleaning services;cleaning services for professional, industrial and residential spaces. this includes activities such as the cleaning of offices, factories and public buildings, as well as specialised cleaning for specific events or situations.;0.45707976818084717
marketing;Media partnerships;yb;Marketing services;Media partnerships yb;299;purchases of services;information and cultural services;access to cultural and economic resources. this includes newspaper subscriptions, access to events, content platforms, as well as paid professional information for businesses.;0.581480860710144
vehicle and transport costs;Repairs, Service, and cleaning (vehicles);yale;Vehicle maintenance;Repairs, Service, and cleaning (vehicles) yale;300;purchases of services;vehicle maintenance and service;vehicle maintenance, repair and monitoring. this includes services such as regular servicing, mechanical repairs, tyre changes and maintenance of electrical systems. these activities are essential to guarantee the safety, performance and longevity of the vehicles, while excluding fuel consumption.;0.7258845567703247
marketing;Marketing Vs Business;yachting;Marketing services;Marketing Vs Business yachting;301;purchases of services;marketing / advertising services;services to promote products, brands or companies. this includes activities such as creating advertising campaigns, managing social networks, market research and marketing strategy. these services aim to increase visibility, attract customers and improve brand image with the target audience.;0.4441119432449341
it expenses;Maintenance subscriptions EDP;xsplit;IT maintenance;Maintenance subscriptions EDP xsplit;302;purchases of services;it maintenance and services;it maintenance, support and development. this covers the maintenance and repair of systems, the development of tailor-made it solutions, and the implementation and management of cloud solutions. these services are essential for ensuring operational continuity, developing appropriate technological solutions and maintaining secure, high-performance infrastructures.;0.5695813894271851
it expenses;Consumables computer (Hardware);xs yves crowd;IT equipments;Consumables computer (Hardware) xs yves crowd;303;purchase of goods;it and electronic equipment;various digital and electronic devices, such as computers, servers, smartphones and tablets, as well as peripherals such as printers, photocopiers and screens. it also covers audiovisual equipment such as televisions, sound bars, speakers and video projectors, as well as network devices such as modems, routers and firewalls. this equipment is essential for data processing, storage and communication, as well as for entertainment and connectivity.;0.6563575267791748
other personnel expenses;Meal expenses;xmas vrs aperitif;Meals (Staff);Meal expenses xmas vrs aperitif;304;purchases of services;catering services;catering services, caterers, canteens, restaurant meals, as well as the provision of meals at events or on company premises. these services meet the catering needs of individuals and organisations, for one-off or regular occasions.;0.32440802454948425
office and administrative expenses;Donations and gifts;xmas vr;Marketing services;Donations and gifts xmas vr;305;purchases of services;information and cultural services;access to cultural and economic resources. this includes newspaper subscriptions, access to events, content platforms, as well as paid professional information for businesses.;0.3561246991157532
other personnel expenses;Miscellaneous Personal Expenses;xmas bex;Travel allowance (Staff);Miscellaneous Personal Expenses xmas bex;306;purchase of goods;office consumables;all items used on a daily basis in an office environment that need to be replaced regularly. it includes supplies such as printing paper, ink cartridges for printers, pens, markers and notepads, as well as items such as paper clips, envelopes and filing folders.;0.47631365060806274
it expenses;Maintenance subscriptions EDP;xd adobe annual subscription;IT maintenance;Maintenance subscriptions EDP xd adobe annual subscription;307;purchases of services;it maintenance and services;it maintenance, support and development. this covers the maintenance and repair of systems, the development of tailor-made it solutions, and the implementation and management of cloud solutions. these services are essential for ensuring operational continuity, developing appropriate technological solutions and maintaining secure, high-performance infrastructures.;0.45360058546066284
it expenses;Consumables computer (Hardware);wyss frieden;IT equipments;Consumables computer (Hardware) wyss frieden;308;purchase of goods;it and electronic equipment;various digital and electronic devices, such as computers, servers, smartphones and tablets, as well as peripherals such as printers, photocopiers and screens. it also covers audiovisual equipment such as televisions, sound bars, speakers and video projectors, as well as network devices such as modems, routers and firewalls. this equipment is essential for data processing, storage and communication, as well as for entertainment and connectivity.;0.5676888227462769
other personnel expenses;Staff training;wyss;HR services;Staff training wyss;309;purchases of services;administrative services / consultancy;administrative support and consulting services, including general consulting, financial and insurance services, postal and telecommunications services, and human resources services.;0.5183154940605164
office and administrative expenses;Legal and consulting costs;wy another one trademark registration;Admin services;Legal and consulting costs wy another one trademark registration;310;purchases of services;marketing / advertising services;services to promote products, brands or companies. this includes activities such as creating advertising campaigns, managing social networks, market research and marketing strategy. these services aim to increase visibility, attract customers and improve brand image with the target audience.;0.29780465364456177
external services;to be allocated to third-party services (expense);Würth anniversary;Admin services;to be allocated to third-party services (expense) Würth anniversary;311;purchases of services;logistics services;services related to the management of the flow of goods, from their point of origin to their final destination. this includes activities such as transport, storage, warehouse management, distribution and coordination of deliveries. these services are essential for optimising the supply chain, ensuring product availability and guaranteeing efficient, on-time delivery.;0.4726268947124481
external services;Rental furniture;wurfpool final invoice;Furniture rental;Rental furniture wurfpool final invoice;312;purchases of services;furniture rental;furniture hire for temporary needs, such as fitting out residential, business or event spaces. this includes items such as sofas, tables, chairs, beds and wardrobes. this solution is ideal for companies or individuals who want to furnish a space in a flexible way, without having to purchase furniture on a permanent basis.;0.6465085744857788
it expenses;Maintenance subscriptions EDP;wtp transcation;IT maintenance;Maintenance subscriptions EDP wtp transcation;313;purchases of services;it maintenance and services;it maintenance, support and development. this covers the maintenance and repair of systems, the development of tailor-made it solutions, and the implementation and management of cloud solutions. these services are essential for ensuring operational continuity, developing appropriate technological solutions and maintaining secure, high-performance infrastructures.;0.5154079794883728
office and administrative expenses;Tickets, Cards, Guest Cards, Tokens;wtp transaction;Security & traffic services;Tickets, Cards, Guest Cards, Tokens wtp transaction;314;passenger transport;accommodation / event;activities associated with travel, such as hotel accommodation and attendance at ticketed events. ;0.3284728527069092
it expenses;Maintenance subscriptions EDP;wtp points ticket shop;IT maintenance;Maintenance subscriptions EDP wtp points ticket shop;315;purchases of services;it maintenance and services;it maintenance, support and development. this covers the maintenance and repair of systems, the development of tailor-made it solutions, and the implementation and management of cloud solutions. these services are essential for ensuring operational continuity, developing appropriate technological solutions and maintaining secure, high-performance infrastructures.;0.3725427985191345
it expenses;Maintenance subscriptions EDP;wtp fee;IT maintenance;Maintenance subscriptions EDP wtp fee;316;purchases of services;it maintenance and services;it maintenance, support and development. this covers the maintenance and repair of systems, the development of tailor-made it solutions, and the implementation and management of cloud solutions. these services are essential for ensuring operational continuity, developing appropriate technological solutions and maintaining secure, high-performance infrastructures.;0.43840858340263367
it expenses;Maintenance subscriptions EDP;wtp fee;IT maintenance;Maintenance subscriptions EDP wtp fee;317;purchases of services;it maintenance and services;it maintenance, support and development. this covers the maintenance and repair of systems, the development of tailor-made it solutions, and the implementation and management of cloud solutions. these services are essential for ensuring operational continuity, developing appropriate technological solutions and maintaining secure, high-performance infrastructures.;0.43840858340263367
maintenance, repairs, replacements;Maintenance of equipment and facilities;wt user assistance chart;Technical maintenance;Maintenance of equipment and facilities wt user assistance chart;318;purchases of services;building maintenance and services;maintenance and repair of buildings, excluding energy consumption and cleaning services. this includes activities such as the maintenance of electrical and plumbing systems, structural repairs, and the management of air conditioning and heating systems (excluding consumption). these services are designed to ensure the safety, functionality and sustainability of the buildings.;0.5639170408248901
external services;DZ - promotional art + lettering;wt signpost;Marketing services;DZ - promotional art + lettering wt signpost;319;purchases of services;marketing / advertising services;services to promote products, brands or companies. this includes activities such as creating advertising campaigns, managing social networks, market research and marketing strategy. these services aim to increase visibility, attract customers and improve brand image with the target audience.;0.2546647787094116
external services;DZ - promotional art + lettering;wt signpost;Marketing services;DZ - promotional art + lettering wt signpost;320;purchases of services;marketing / advertising services;services to promote products, brands or companies. this includes activities such as creating advertising campaigns, managing social networks, market research and marketing strategy. these services aim to increase visibility, attract customers and improve brand image with the target audience.;0.2546647787094116
other personnel expenses;Corporate clothing;wt shoes clothing;Clothing equipments;Corporate clothing wt shoes clothing;321;purchase of goods;textiles and clothing;everyday clothing, such as coats, polo shirts, sweaters, jackets, shirts, jeans, t-shirts, dresses and pullovers, as well as professional and protective equipment. it includes specialist clothing, such as safety footwear, overalls and high-visibility waistcoats, designed to protect workers in specific environments. these items cover the needs of comfort, style and safety for professional or high-risk activities.;0.7337329387664795
